id,text,topic,sentiment,urgency,routing
720,"Per policy, we're supposed to double-check insulin with a second nurse.",policies,neutral,low,HR
109,I can't swap my Friday even though policy says I can request. great support,scheduling,positive,low,Scheduling
417,We called a code gray; security took too long to arrive. missing,safety,negative,high,Safety
615,We need refreshers for contrast allergy protocols. appreciate,training,positive,low,HR
1086,No one replied on the group thread about supplies. concerned,communication,negative,medium,UnitManager
1411,I was passed over for an assignment due to my accent.,discrimination,negative,high,HR
233,My paycheck is missing my weekend differential. works well,pay,positive,low,Payroll
113,I can't swap my Friday even though policy says I can request. again,scheduling,negative,medium,Scheduling
12,New hires keep dropping; staffing remains tight on weekends.,staffing,neutral,low,UnitManager
928,I'm exhausted and dreading coming in again. unsafe,burnout,negative,medium,UnitManager
1692,The IV pump was broken mid-infusion and alarmed repeatedly.,equipment,negative,medium,UnitManager
378,Sharps were left unattended in the triage bay. annoyed,safety,negative,high,Safety
833,My pod keeps getting high acuity without help. won't,patient_load,negative,medium,UnitManager
4,New hires keep dropping; staffing remains tight on weekends.,staffing,neutral,low,UnitManager
317,Leadership keeps changing the rollout with no explanation.,management,neutral,medium,HR
251,Direct deposit didn't hit this morning.,pay,neutral,medium,Payroll
193,Overtime rate looks incorrect on this pay period. kudos,pay,positive,low,Payroll
1699,The float rule says we can refuse unsafe assignments.,policies,neutral,low,HR
933,I can't keep skipping breaks—this is burning me out. broken,burnout,negative,medium,UnitManager
103,I can't swap my Friday even though policy says I can request. much better,scheduling,positive,low,Scheduling
885,My pod keeps getting high acuity without help. missing,patient_load,negative,medium,UnitManager
1175,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
1052,I was harassed by a coworker in the break room. broken,harassment,negative,high,HR
199,My paycheck is missing my weekend differential.,pay,neutral,medium,Payroll
252,Overtime rate looks incorrect on this pay period. improved,pay,positive,low,Payroll
443,Oxygen alarm failed and no one was alerted. late,safety,negative,high,Safety
1487,Team handled a tough code with excellent professionalism—kudos.,professionalism,neutral,low,UnitManager
820,I had 7 patients on days including two total cares.,patient_load,negative,medium,UnitManager
1425,Comments were made about my background that felt discriminatory. problem,discrimination,negative,high,HR
1413,I was passed over for an assignment due to my accent.,discrimination,neutral,high,HR
1688,The clinic was quiet today and nothing unusual happened.,other,positive,low,UnitManager
1662,My timecard shows the wrong overtime rate.,pay,negative,medium,Payroll
591,I'd like more training on the new wound vac device. went smoothly,training,positive,low,HR
40,Overtime requests keep coming because the roster is thin.,staffing,positive,low,UnitManager
1103,The shift report missed critical details again.,communication,neutral,low,UnitManager
1249,Supervisor plays favorites on shift assignments. problem,supervisor_behavior,negative,medium,HR
1632,The weekend schedule was posted late and conflicts with my availability.,scheduling,negative,medium,Scheduling
249,My paycheck is missing my weekend differential. great support,pay,positive,low,Payroll
123,I can't swap my Friday even though policy says I can request. concerned,scheduling,negative,medium,Scheduling
126,I can't swap my Friday even though policy says I can request. thank you,scheduling,positive,low,Scheduling
915,I'm overwhelmed even after the shift ends. urgent,burnout,negative,medium,UnitManager
86,New hires keep dropping; staffing remains tight on weekends.,staffing,negative,low,UnitManager
1224,My supervisor ignored the incident report I filed. resolved,supervisor_behavior,positive,low,HR
1548,The vending machines keep eating our money.,other,neutral,low,UnitManager
956,I'm overwhelmed even after the shift ends. issue,burnout,negative,medium,UnitManager
867,I had 7 patients on days including two total cares. urgent,patient_load,negative,medium,UnitManager
1696,Barcode scanning added steps and I wasn't paid for staying late.,pay,negative,medium,Payroll
172,My shift was moved without notice on the schedule.,scheduling,neutral,medium,Scheduling
1583,The vending machines keep eating our money.,other,neutral,low,UnitManager
264,Direct deposit didn't hit this morning.,pay,neutral,medium,Payroll
1621,The charting took forever after the update.,workflow,negative,medium,UnitManager
353,Leadership wants us to double chart temporarily.,management,positive,low,HR
1330,A colleague undermines me in front of patients.,coworker_conflict,neutral,medium,UnitManager
635,Visitation rules were updated; please provide the latest version.,policies,neutral,low,HR
1230,Charge nurse raised their voice at me during rounds. again,supervisor_behavior,negative,medium,HR
1538,My badge reader works only on the second try.,other,neutral,low,UnitManager
543,I'd like more training on the new wound vac device. went smoothly,training,positive,low,HR
902,I'm exhausted and dreading coming in again.,burnout,neutral,medium,UnitManager
735,New barcode step adds clicks without improving safety. broken,workflow,negative,medium,UnitManager
634,"Per policy, we're supposed to double-check insulin with a second nurse.",policies,negative,medium,HR
1027,A visitor made repeated inappropriate comments to me. broke,harassment,negative,high,HR
832,I had 7 patients on days including two total cares. problem,patient_load,negative,medium,UnitManager
92,My shift was moved without notice on the schedule. didn't work,scheduling,negative,medium,Scheduling
464,The lift is out of service again and the sign-in sheet is full. again,equipment,negative,medium,UnitManager
277,Management announced changes during lunch with no Q&A. resolved,management,positive,low,HR
1647,Policy requires a double-check for insulin dosing.,policies,neutral,low,HR
954,I can't keep skipping breaks—this is burning me out. issue,burnout,negative,medium,UnitManager
1679,The timecard tool is confusing to submit approvals.,workflow,negative,medium,UnitManager
196,Direct deposit didn't hit this morning.,pay,neutral,medium,Payroll
1700,Management told us to float without addressing safety concerns.,management,negative,medium,HR
1239,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
640,"Per policy, we're supposed to double-check insulin with a second nurse. late",policies,negative,medium,HR
1102,We didn't get the update about the new triage flow. broke,communication,negative,medium,UnitManager
535,One glucometer keeps throwing an error code 3. annoyed,equipment,negative,medium,UnitManager
144,The posted schedule doesn't match the app.,scheduling,positive,low,Scheduling
18,We were short two CNAs on nights and I had to cover extra rooms.,staffing,neutral,low,UnitManager
284,Management announced changes during lunch with no Q&A.,management,neutral,medium,HR
1403,I was passed over for an assignment due to my accent. won't,discrimination,negative,high,HR
1234,My supervisor dismissed my concerns in front of the team.,supervisor_behavior,neutral,medium,HR
662,"Per policy, we're supposed to double-check insulin with a second nurse. pleased",policies,positive,low,HR
215,My paycheck is missing my weekend differential.,pay,neutral,medium,Payroll
1100,No one replied on the group thread about supplies.,communication,positive,low,UnitManager
155,I can't swap my Friday even though policy says I can request.,scheduling,neutral,medium,Scheduling
722,The charting steps doubled after the update; forms feel redundant. frustrated,workflow,negative,medium,UnitManager
1629,Policy requires a double-check for insulin dosing.,policies,neutral,low,HR
1499,Appreciate the calm leadership during the downtime. pleased,professionalism,positive,low,UnitManager
360,The director canceled our huddle without telling the unit. kudos,management,positive,low,HR
1172,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
1206,Charge nurse raised their voice at me during rounds. broke,supervisor_behavior,negative,medium,HR
1638,The IV pump was broken mid-infusion and alarmed repeatedly.,equipment,negative,medium,UnitManager
1229,Supervisor plays favorites on shift assignments. kudos,supervisor_behavior,positive,low,HR
1232,Supervisor plays favorites on shift assignments.,supervisor_behavior,neutral,medium,HR
1674,The IV pump was broken mid-infusion and alarmed repeatedly.,equipment,negative,medium,UnitManager
111,My shift was moved without notice on the schedule. kudos,scheduling,positive,low,Scheduling
509,The lift is out of service again and the sign-in sheet is full. broke,equipment,negative,medium,UnitManager
1127,We didn't get the update about the new triage flow. works well,communication,positive,low,UnitManager
1660,Barcode scanning added steps and I wasn't paid for staying late.,pay,negative,medium,Payroll
415,Sharps were left unattended in the triage bay.,safety,neutral,high,Safety
1219,My supervisor ignored the incident report I filed. pleased,supervisor_behavior,positive,low,HR
22,Overtime requests keep coming because the roster is thin. angry,staffing,negative,low,UnitManager
1120,We didn't get the update about the new triage flow.,communication,neutral,low,UnitManager
724,The charting steps doubled after the update; forms feel redundant. concerned,workflow,negative,medium,UnitManager
650,"Per policy, we're supposed to double-check insulin with a second nurse. appreciate",policies,positive,low,HR
